cluster_0_prob,cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob,cluster_7_prob,cluster_8_prob,cluster_9_prob,cluster_10_prob,cluster_11_prob,GHS_urban_area_id
0.055414945,0.035052747,0.008944701,0.13556294,0.040763166,0.00049069297,0.06199987,0.040863194,0.058046665,0.09665148,0.032563806,0.43364578,126
0.07678938,0.035129327,0.0107061695,0.08317361,0.046096254,0.00053568784,0.16901511,0.038081624,0.04972546,0.38162056,0.03124528,0.077881515,127
0.06280378,0.0318121,0.014297979,0.0683243,0.04044533,0.00063735625,0.3634856,0.034176603,0.043242633,0.22367062,0.028662125,0.08844157,128
0.75012594,0.028094532,0.00055732706,0.02870162,0.074892424,4.4816465e-05,0.0027305863,0.027128093,0.04306294,0.022909435,0.018462004,0.0032902784,129
0.049650103,0.11113272,0.0003542454,0.012607038,0.68290955,3.2191077e-05,0.0014357488,0.049980238,0.04295617,0.0070200344,0.04009445,0.0018275002,130
0.077580124,0.035037726,0.009834052,0.08758806,0.04609062,0.00050242175,0.14446193,0.038354628,0.050667908,0.40102044,0.03120367,0.07765841,131
0.082002,0.046303898,0.0077214283,0.24978629,0.056115955,0.00045899066,0.053648625,0.05491485,0.08390394,0.1479502,0.042074498,0.17511927,133
0.005822161,0.004559205,0.9232005,0.0063686827,0.0049864207,0.0008134829,0.020293118,0.0047642346,0.005247252,0.008185138,0.00440668,0.011353126,134
0.022760328,0.014412265,0.0005957733,0.8421635,0.017549014,4.510093e-05,0.00294038,0.0197367,0.047477715,0.0139145525,0.012545421,0.005859219,135
0.01524646,0.009500183,0.010389269,0.019076515,0.01121449,0.00032989116,0.8154133,0.0103450995,0.01259953,0.03307305,0.0089026075,0.0539097,136
0.011967689,0.10170633,0.00030491795,0.008774907,0.03232126,3.0409818e-05,0.0010951641,0.13711499,0.032660525,0.0037860335,0.66871595,0.0015218422,137
0.11867035,0.04232511,0.0038830189,0.2547423,0.059731897,0.00025268568,0.027101226,0.049995128,0.08273548,0.28446966,0.036178544,0.039914653,138
0.8053422,0.022801923,0.00047829156,0.019916976,0.062833436,3.8595463e-05,0.0023205508,0.020092357,0.02924777,0.019668847,0.014562233,0.0026968266,139
0.17412728,0.03230224,0.0022919078,0.06681589,0.05487833,0.00015891457,0.014736919,0.033240244,0.047893547,0.5339024,0.025367806,0.0142844375,140
